media_x_x;media_y_x;cov_xx_x;cov_xy_x;cov_yy_x;peso_x;media_x_y;media_y_y;cov_xx_y;cov_xy_y;cov_yy_y;peso_y;media_x_z;media_y_z;cov_xx_z;cov_xy_z;cov_yy_z;peso_z;nombre_terreno
3,77417E+15;3,73713E+11;1,85923E+14;-2,36505E+14;6592034164;1,21567E+15;1,11357E+15;4,02379E+13;4,52241E+15;-5,78174E+13;6884801598;7,25986E+13;1,55322E+16;5,45142E+12;3,48782E+16;-1,51384E+14;12159566449;7,58485E+15;pasto
1,26554E+16;9,52246E+13;6,40331E+14;6,09817E+13;29055055596;7,72157E+14;1,40046E+15;3,75306E+12;4,33781E+13;-1,74577E+14;1165425397;8,92156E+15;4,13935E+15;5,86277E+13;8,1356E+14;-7,90281E+13;2582002629;1,8988E+14;pasto
1,51202E+16;3,31252E+12;3,58949E+16;-1,20592E+14;11282780889;8,01218E+15;2,72397E+15;5,41386E+13;1,23482E+16;-6,79757E+13;12159945828;3,5245E+14;3,96499E+15;1,33535E+13;5,05071E+15;-2,7377E+13;17650008342;2,22527E+15;pasto
1,49633E+16;8,51307E+12;8,67216E+14;6,21313E+13;20733249950;1,02249E+15;3,942E+15;1,6575E+14;5,93917E+15;-7,87848E+12;92631784881;1,92654E+14;7,01489E+15;7,55529E+12;1,96542E+16;-1,06828E+14;3,27027E+11;4,4009E+14;pasto
1,5283E+14;4,31799E+12;3,49713E+15;-1,20532E+13;11455609225;7,89186E+15;1,4192E+15;4,41506E+11;4,19844E+15;-1,44754E+14;11424620040;8,79067E+15;1,55899E+16;8,70762E+12;3,44848E+16;-1,72351E+14;13686140449;7,55828E+15;pasto
4,31359E+15;3,37172E+13;1,67087E+16;-2,05002E+14;5663063823;1,08565E+15;1,95877E+15;5,009E+13;9,07168E+15;-9,66461E+13;8583334238;1,01668E+14;4,338E+16;1,91888E+13;4,43293E+15;-2,65786E+13;24677961763;2,00163E+15;pasto
4,35828E+15;4,47617E+13;1,81286E+16;-2,80597E+14;881240617,2;1,20599E+15;1,94353E+16;5,47083E+13;8,73275E+15;-4,47199E+13;9332370616;9,99201E+14;4,86358E+15;9,15912E+13;1,07134E+16;-1,31138E+14;58102365127;2,82848E+14;pasto
1,48059E+16;1,23425E+14;8,62024E+15;2,50811E+13;44377916094;1,01576E+15;1,41304E+16;5,55951E+12;4,25426E+15;-2,27244E+14;12706257743;8,83358E+15;1,55855E+16;8,94291E+12;3,48183E+16;-2,28809E+13;14539049045;7,5438E+14;pasto
1,5435E+16;4,83545E+12;3,38075E+15;-1,36459E+14;11889698844;7,77825E+15;3,21737E+16;1,22063E+14;3,76964E+15;-4,68322E+13;41132015664;1,67222E+13;4,18994E+16;2,33657E+13;5,0124E+14;-1,6667E+13;2987379347;2,17335E+15;pasto
6,18154E+15;5,057E+13;1,29609E+15;5,64465E+13;8813901850;3,19112E+14;1,53714E+16;7,06792E+12;3,44637E+15;-2,39149E+14;1611794548;7,69403E+14;3,82695E+15;1,33198E+13;4,80414E+15;-8,90478E+13;21078038323;2,90137E+15;pav
1,42624E+16;6,43897E+12;4,11888E+15;-2,79775E+14;14544112449;8,62858E+15;2,08905E+16;7,06786E+13;1,65593E+16;-3,875E+13;2,02403E+11;1,18671E+13;1,76132E+16;1,14501E+13;2,11885E+15;-1,94275E+14;16867642952;5,89369E+15;pav
2,68939E+15;3,63742E+13;1,3373E+16;-5,04297E+13;4741845856;1,05231E+15;3,56554E+16;1,25052E+13;4,04715E+16;-1,08502E+14;2069804422;2,1873E+14;9,27998E+15;5,48417E+13;5,26161E+15;-3,60134E+14;1,08145E+11;1,20494E+15;pav
1,35383E+16;9,25925E+13;6,20225E+15;2,28998E+14;1,96685E+11;9,50682E+14;1,44425E+16;4,31328E+13;7,50544E+15;-5,60451E+12;6981692277;9,43759E+14;1,62147E+15;9,65008E+12;3,0369E+16;-2,25522E+14;15877179972;7,05884E+15;pav_pen_suav
1,50907E+15;6,21565E+12;3,61588E+15;-2,1891E+14;13317125431;8,04354E+14;1,61189E+16;5,22593E+11;3,1102E+16;-1,50505E+14;11894795547;7,12691E+14;7,74718E+15;6,16877E+13;7,36636E+15;-8,85063E+14;2,94943E+11;4,84283E+13;pav_pen_suav
4,08636E+14;4,0973E+12;1,24485E+16;-2,01904E+14;6766704785;1,00577E+15;5,46241E+15;1,13343E+13;4,8533E+15;-4,87749E+12;15645676702;1,92933E+15;3,48865E+15;1,29061E+13;4,14783E+16;-7,61595E+13;18173882087;2,45688E+15;pav_pen_suav
3,32337E+15;4,77503E+13;1,39805E+16;-1,83012E+14;7882754565;1,1476E+14;1,81902E+15;6,60163E+12;1,81859E+16;-1,48597E+14;13269888066;5,42492E+15;1,84745E+16;9,9878E+12;1,67916E+16;-1,61797E+13;15181538027;5,20586E+15;pav
