x,y,interior ,borde,model.k,model.G,model.c,BN,BS,Be,Bo,columna_DIR1,columna_DIR2,columna_NEU1,columna_NEU2,columna_ROB1,columna_ROB2,PHI_temp,Q_tempx,Q_tempy
0,0,0,1,5,30,1,1,0,0,1,1,0,1,0,0,0,0,-25.66183671265657,0
0,0.1666666666666667,0,1,5,30,1,0,0,0,1,1,0,0,0,0,0,0,-25.66183671265657,0
0,0.3333333333333333,0,1,5,30,1,0,0,0,1,1,0,0,0,0,0,0,-25.66183671265657,0
0,0.5,0,1,5,30,1,0,0,0,1,1,0,0,0,0,0,0,-25.66183671265657,0
0,0.6666666666666666,0,1,5,30,1,0,0,0,1,1,0,0,0,0,0,0,-25.66183671265657,0
0,0.8333333333333333,0,1,5,30,1,0,0,0,1,1,0,0,0,0,0,0,-25.66183671265657,0
0,1,0,1,5,30,1,0,0,1,1,1,0,1,0,0,0,0,-25.66183671265656,0
0.1666666666666667,0,0,1,5,30,1,1,0,0,0,0,0,1,0,0,0,0.8553945570885526,-23.23311959241395,0
0.1666666666666667,0.1666666666666667,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,0.8553945570885526,-23.23311959241396,1.665334536937735e-15
0.1666666666666667,0.3333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,0.8553945570885525,-23.23311959241396,0
0.1666666666666667,0.5,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,0.8553945570885526,-23.23311959241395,-1.665334536937735e-15
0.1666666666666667,0.6666666666666666,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,0.8553945570885526,-23.23311959241395,3.33066907387547e-15
0.1666666666666667,0.8333333333333333,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,0.8553945570885524,-23.23311959241395,4.996003610813204e-15
0.1666666666666667,1,0,1,5,30,1,0,0,1,0,0,0,1,0,0,0,0.8553945570885523,-23.23311959241394,3.330669073875468e-15
0.3333333333333333,0,0,1,5,30,1,1,0,0,0,0,0,1,0,0,0,1.548874639494263,-18.43347535879586,-6.661338147750938e-15
0.3333333333333333,0.1666666666666667,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,1.548874639494264,-18.43347535879586,-3.33066907387547e-15
