Freq_adel,PSD_adel,Filename_adel,Freq_atr,PSD_atr,Filename_atr
51.23619715,2.00E-05,arepas_circulo,50.48448019,4.20E-05,arepas_circulo
55.17744308,1.80E-05,arepas_circulo,54.36790175,3.22E-05,arepas_circulo
59.11868902,1.66E-05,arepas_circulo,58.2513233,2.85E-05,arepas_circulo
63.05993495,1.56E-05,arepas_circulo,62.13474485,3.04E-05,arepas_circulo
67.00118089,1.77E-05,arepas_circulo,66.01816641,2.07E-05,arepas_circulo
70.94242682,1.81E-05,arepas_circulo,69.90158796,1.20E-05,arepas_circulo
74.88367276,1.54E-05,arepas_circulo,73.78500951,9.20E-06,arepas_circulo
78.82491869,1.09E-05,arepas_circulo,77.66843107,6.15E-06,arepas_circulo
82.76616462,9.14E-06,arepas_circulo,81.55185262,5.14E-06,arepas_circulo
86.70741056,6.93E-06,arepas_circulo,85.43527417,4.02E-06,arepas_circulo
90.64865649,6.51E-06,arepas_circulo,89.31869573,3.82E-06,arepas_circulo
94.58990243,7.01E-06,arepas_circulo,93.20211728,3.01E-06,arepas_circulo
98.53114836,5.22E-06,arepas_circulo,97.08553883,2.75E-06,arepas_circulo
102.4723943,5.21E-06,arepas_circulo,100.9689604,2.11E-06,arepas_circulo
106.4136402,5.08E-06,arepas_circulo,104.8523819,1.98E-06,arepas_circulo
110.3548862,4.33E-06,arepas_circulo,108.7358035,2.12E-06,arepas_circulo
114.2961321,4.19E-06,arepas_circulo,112.619225,2.05E-06,arepas_circulo
118.237378,3.88E-06,arepas_circulo,116.5026466,2.06E-06,arepas_circulo
122.178624,3.89E-06,arepas_circulo,120.3860682,2.19E-06,arepas_circulo
126.1198699,3.23E-06,arepas_circulo,124.2694897,1.90E-06,arepas_circulo
130.0611158,3.01E-06,arepas_circulo,128.1529113,1.76E-06,arepas_circulo
134.0023618,3.59E-06,arepas_circulo,132.0363328,1.54E-06,arepas_circulo
137.9436077,3.10E-06,arepas_circulo,135.9197544,1.78E-06,arepas_circulo
